,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
415,realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50,8,0,16.76,Unisoc T612,10943
420,POCO F5 5G,Carbon Black,256,8,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
421,vivo Y12G,Phantom Black,64,3,5000,13,8,0,16.54,Qualcomm Snapdragon 439,11209
422,REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50,16,0,16.94,Mediatek Dimensity 1080,26999
423,realme C30s,Stripe Black,64,4,5000,8,5,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
424,realme C30s,Stripe Black,64,4,5000,8,5,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
425,SAMSUNG Galaxy A14 5G,Black,128,8,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),20999
427,SAMSUNG Galaxy A23,Black,128,6,5000,50,8,0,16.76,Octa-core(EXYNOS),17499
428,vivo Y56 5G,Orange Shimmer,128,8,5000,50,16,0,16.71,Mediatek Dimensity 700,19999
429,vivo Y56 5G,Black Engine,128,4,5000,50,16,0,16.71,Mediatek Dimensity 700,17999
432,vivo Y16,Stellar Black,128,4,5000,13,5,0,16.54,Mediatek Helio P35,12989
433,MOTOROLA g52,Metallic White,128,6,5000,50,16,0,16.76,Qualcomm Snapdragon 680,13999
434,vivo Y100 5G,Pacific Blue,128,8,4500,64,16,0,16.21,Mediatek Dimensity 900,23999
435,Redmi 9A Sport,Coral Green,32,2,5000,13,5,0,16.59,Helio G25,7190
436,Redmi 9A Sport,Coral Green,32,3,5000,13,5,0,16.59,Helio G25,7990
437,vivo Y100 5G,Pacific Blue,128,8,4500,64,16,0,16.21,Mediatek Dimensity 900,23999
438,SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),20999
439,REDMI Note 11,Horizon Blue,64,4,5000,50,13,0,16.33,Snapdragon 680,12990
441,SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48,13,0,16.76,"Dimensity 1080, Octa Core ",32999
443,MOTOROLA g42,Metallic Rose,64,4,5000,50,16,0,16.43,Qualcomm Snapdragon 680,13999
444,SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48,13,0,16.76,"Dimensity 1080, Octa Core ",30999
446,REDMI Note 11T 5G,Stardust White,128,8,5000,50,16,0,16.76,Mediatek Dimensity 810,19397
448,vivo Y16,Steller Black,32,3,5000,13,5,0,16.54,Mediatek Helio P35,10989
